Node Number	Normal Elastic Strain (mm/mm)
1	-6.7385e-004
2	-3.6946e-004
3	5.1848e-005
4	1.7131e-003
5	7.0283e-004
6	7.3461e-005
7	-2.7006e-003
8	5.1785e-006
9	3.0028e-003
10	-2.664e-006
11	4.6098e-004
12	1.8682e-004
13	3.5863e-004
14	-4.5337e-005
15	-7.1761e-004
16	-3.106e-005
17	1.042e-003
18	-2.7353e-005
19	-5.9755e-004
20	-9.5124e-004
21	2.8332e-005
22	1.6233e-003
23	1.3276e-003
24	1.1168e-004
25	-7.0403e-004
26	-6.628e-004
27	-6.66e-004
28	-6.8967e-004
29	-7.2537e-004
30	-7.6665e-004
31	-8.0941e-004
32	-8.5055e-004
33	-8.8647e-004
34	-9.1455e-004
35	-9.2765e-004
36	-9.2521e-004
37	-8.8981e-004
38	-7.2353e-004
39	-4.6504e-005
40	1.196e-003
41	1.4114e-003
42	1.4464e-003
43	1.4409e-003
44	1.4215e-003
45	1.3913e-003
46	1.3613e-003
47	1.3361e-003
48	1.3209e-003
49	1.321e-003
50	1.3432e-003
51	1.4012e-003
52	1.5128e-003
53	1.7501e-003
54	2.4758e-004
55	-5.1408e-005
56	-2.5706e-004
57	-4.4992e-004
58	-6.7537e-004
59	-9.3132e-004
60	-1.2133e-003
61	-1.512e-003
62	-1.8168e-003
63	-2.1175e-003
64	-2.404e-003
65	-2.6674e-003
66	-2.8992e-003
67	-3.0916e-003
68	-3.237e-003
69	-3.3278e-003
70	-3.3556e-003
71	-3.3109e-003
72	-3.1817e-003
73	-2.9502e-003
74	-2.5428e-003
75	-2.428e-003
76	-2.2388e-003
77	-2.0635e-003
78	-1.8975e-003
79	-1.7436e-003
80	-1.6011e-003
81	-1.4694e-003
82	-1.3472e-003
83	-1.2331e-003
84	-1.1258e-003
85	-1.0237e-003
86	-9.2601e-004
87	-8.1751e-004
88	-7.4825e-004
89	-6.6073e-004
90	-5.4037e-004
91	-4.708e-004
92	-3.9674e-004
93	-3.1443e-004
94	-2.4336e-004
95	-1.7011e-004
96	-1.1847e-004
97	-6.3561e-005
98	-2.8387e-005
99	3.7308e-006
100	1.6736e-005
101	2.3065e-005
102	1.2222e-005
103	-1.2297e-005
104	-3.9829e-005
105	-4.3239e-005
106	-4.4269e-005
107	-4.0137e-005
108	1.0436e-006
109	-3.3804e-005
110	1.4838e-005
111	9.6811e-006
112	3.1126e-005
113	-4.9329e-005
114	-4.4149e-005
115	-3.3371e-004
116	-1.096e-004
117	-5.6302e-004
118	-4.9297e-005
119	5.1538e-004
120	1.5488e-003
121	8.6068e-004
122	4.7394e-004
123	1.132e-003
124	5.2268e-004
125	6.0644e-004
126	8.5334e-004
127	1.109e-003
128	1.3402e-003
129	1.5461e-003
130	1.7324e-003
131	1.9061e-003
132	2.0738e-003
133	2.2406e-003
134	2.4103e-003
135	2.5836e-003
136	2.7652e-003
137	2.8655e-003
138	3.2144e-003
139	3.3966e-003
140	3.4812e-003
141	3.4902e-003
142	3.4366e-003
143	3.3296e-003
144	3.1768e-003
145	2.9847e-003
146	2.7598e-003
147	2.5083e-003
148	2.2369e-003
149	1.953e-003
150	1.6642e-003
151	1.3788e-003
152	1.1056e-003
153	8.5281e-004
154	6.2471e-004
155	4.2458e-004
156	1.9654e-004
157	1.2755e-003
158	8.7677e-004
159	6.0281e-005
160	-2.9853e-004
161	4.492e-004
162	3.4213e-004
163	2.7276e-004
164	2.1797e-004
165	1.73e-004
166	1.3456e-004
167	1.0171e-004
168	7.4508e-005
169	5.401e-005
170	4.2214e-005
171	4.2103e-005
172	5.7093e-005
173	8.9642e-005
174	1.3573e-004
175	2.1277e-004
176	2.1872e-004
177	2.2542e-004
178	2.3174e-004
179	2.3755e-004
180	2.4289e-004
181	2.4792e-004
182	2.5286e-004
183	2.5795e-004
184	2.6343e-004
185	2.6953e-004
186	2.7645e-004
187	2.8434e-004
188	2.9324e-004
189	3.0304e-004
190	3.134e-004
191	3.2369e-004
192	3.3255e-004
193	3.4362e-004
194	3.7534e-004
195	3.9131e-004
196	4.0459e-004
197	4.1515e-004
198	4.2092e-004
199	4.1968e-004
200	4.0882e-004
201	3.8537e-004
202	3.462e-004
203	2.8839e-004
204	2.108e-004
205	1.1979e-004
206	4.5868e-005
207	2.3249e-004
208	4.4471e-004
209	1.6216e-004
210	-5.1038e-006
211	6.2325e-005
212	5.4411e-005
213	4.1826e-005
214	-1.899e-005
215	2.538e-005
216	-5.1932e-005
217	-5.8572e-006
218	-4.8746e-005
219	-3.358e-005
220	-5.2421e-005
221	-3.6356e-005
222	-7.0035e-005
223	-1.2199e-003
224	-1.3785e-003
225	-1.5157e-003
226	-1.6281e-003
227	-1.7151e-003
228	-1.7708e-003
229	-1.7902e-003
230	-1.7715e-003
231	-1.7167e-003
232	-1.6312e-003
233	-1.5228e-003
234	-1.4005e-003
235	-1.2734e-003
236	-1.1496e-003
237	-1.0356e-003
238	-9.3615e-004
239	-8.5385e-004
240	-7.8868e-004
241	-7.396e-004
242	-7.0493e-004
243	-6.9383e-004
244	-6.94e-004
245	-6.9327e-004
246	-6.8952e-004
247	-6.8074e-004
248	-6.663e-004
249	-6.4592e-004
250	-6.1982e-004
251	-5.8865e-004
252	-5.5291e-004
253	-5.1403e-004
254	-4.666e-004
255	-4.1107e-004
256	-3.5184e-004
257	-3.4737e-004
258	-3.0959e-004
259	-2.3185e-004
