Node Number	Shear Elastic Strain (mm/mm)
1	-1.3571e-003
2	-2.6122e-003
3	-1.2201e-003
4	-9.1792e-004
5	-2.9427e-003
6	-1.3083e-003
7	-1.8544e-003
8	3.0566e-005
9	-1.3339e-003
10	-7.9783e-005
11	-9.2694e-004
12	2.5333e-004
13	-1.8645e-003
14	-2.1367e-006
15	-1.7253e-003
16	3.693e-005
17	-1.273e-003
18	-6.9758e-005
19	-1.2985e-003
20	-2.6734e-003
21	-2.5534e-003
22	-8.6245e-004
23	-2.4506e-003
24	-2.5017e-003
25	-1.3092e-003
26	-1.3286e-003
27	-1.3442e-003
28	-1.3643e-003
29	-1.3919e-003
30	-1.4314e-003
31	-1.4883e-003
32	-1.5691e-003
33	-1.6807e-003
34	-1.8301e-003
35	-2.026e-003
36	-2.2715e-003
37	-2.5786e-003
38	-2.8158e-003
39	-1.7654e-003
40	-3.0943e-003
41	-2.6915e-003
42	-2.2301e-003
43	-1.8738e-003
44	-1.6004e-003
45	-1.4014e-003
46	-1.2602e-003
47	-1.1637e-003
48	-1.0992e-003
49	-1.0554e-003
50	-1.0219e-003
51	-9.8811e-004
52	-9.4339e-004
53	-8.5623e-004
54	-1.9211e-003
55	-3.2247e-003
56	-3.4786e-003
57	-3.7939e-003
58	-4.1217e-003
59	-4.4395e-003
60	-4.7177e-003
61	-4.9385e-003
62	-5.0912e-003
63	-5.17e-003
64	-5.1722e-003
65	-5.0979e-003
66	-4.9488e-003
67	-4.7281e-003
68	-4.4399e-003
69	-4.09e-003
70	-3.6854e-003
71	-3.2349e-003
72	-2.7497e-003
73	-2.2482e-003
74	-1.6561e-003
75	-1.4063e-003
76	-1.3352e-003
77	-1.2554e-003
78	-1.1892e-003
79	-1.1282e-003
80	-1.0744e-003
81	-1.0265e-003
82	-9.8402e-004
83	-9.4553e-004
84	-9.0907e-004
85	-8.7486e-004
86	-8.3278e-004
87	-8.0527e-004
88	-7.3357e-004
89	-7.2426e-004
90	-6.7417e-004
91	-5.4794e-004
92	-5.1115e-004
93	-4.5689e-004
94	-3.7203e-004
95	-2.9221e-004
96	-2.0958e-004
97	-1.4074e-004
98	-7.2159e-005
99	-1.8046e-005
100	2.4762e-005
101	4.6418e-005
102	4.1553e-005
103	3.6598e-005
104	2.5777e-005
105	1.244e-005
106	-2.5117e-005
107	-4.5348e-005
108	-7.898e-005
109	-1.6303e-004
110	-2.8476e-004
111	-3.9706e-004
112	-4.9501e-004
113	-6.3293e-004
114	-7.0407e-004
115	-9.8404e-004
116	-1.0615e-003
117	-1.6896e-003
118	-2.1303e-003
119	-7.6764e-004
120	5.2345e-003
121	5.4388e-003
122	8.1492e-004
123	-1.1026e-004
124	-2.9917e-004
125	-4.5674e-004
126	-6.23e-004
127	-6.939e-004
128	-7.2007e-004
129	-7.2639e-004
130	-7.2866e-004
131	-7.3434e-004
132	-7.4659e-004
133	-7.6678e-004
