Node Number	Shear Elastic Strain (mm/mm)
1	-3.6376e-004
2	4.6554e-006
3	-1.1442e-004
4	1.1115e-003
5	6.6958e-004
6	4.8357e-004
7	-5.8667e-004
8	-5.6696e-005
9	1.4391e-003
10	-6.5073e-005
11	3.0734e-004
12	-1.1284e-004
13	-1.3713e-006
14	-2.3492e-005
15	-2.7107e-005
16	-2.6312e-005
17	-1.1903e-005
18	1.4798e-005
19	-3.5185e-004
20	-2.0529e-004
21	-1.8865e-004
22	1.0795e-003
23	9.1242e-004
24	9.4438e-004
25	-2.8696e-004
26	-1.6628e-004
27	-1.0103e-004
28	-6.4746e-005
29	-4.5868e-005
30	-3.812e-005
31	-3.7438e-005
32	-4.099e-005
33	-4.641e-005
34	-5.1137e-005
35	-5.2054e-005
36	-4.4973e-005
37	-2.0917e-005
38	1.5717e-005
39	-3.5163e-005
40	6.5939e-004
41	5.7465e-004
42	4.8368e-004
43	4.1392e-004
44	3.5992e-004
45	3.2018e-004
46	2.9337e-004
47	2.7975e-004
48	2.8079e-004
49	3.0022e-004
50	3.4549e-004
51	4.314e-004
52	5.8613e-004
53	8.9852e-004
54	5.0553e-004
55	-2.833e-004
56	-3.5661e-004
57	-4.1321e-004
58	-4.6482e-004
59	-5.1625e-004
60	-5.7122e-004
61	-6.2901e-004
62	-6.8651e-004
63	-7.3982e-004
64	-7.8535e-004
65	-8.2041e-004
66	-8.4323e-004
67	-8.5297e-004
68	-8.4946e-004
69	-8.3298e-004
70	-8.0401e-004
71	-7.6308e-004
72	-7.1099e-004
73	-6.4872e-004
74	-5.603e-004
75	-5.5842e-004
76	-5.1643e-004
77	-4.8824e-004
78	-4.6711e-004
79	-4.5282e-004
80	-4.4306e-004
81	-4.3638e-004
82	-4.3161e-004
83	-4.2801e-004
84	-4.2517e-004
85	-4.2265e-004
86	-4.2165e-004
87	-4.1411e-004
88	-4.1949e-004
89	-4.1201e-004
90	-4.0232e-004
91	-4.0853e-004
92	-3.9803e-004
93	-3.8256e-004
94	-3.7033e-004
95	-3.558e-004
