Node Number	Normal Elastic Strain (mm/mm)
1	2.4672e-004
2	-5.4906e-004
3	-8.9441e-004
4	-2.0057e-004
5	-2.6023e-004
6	4.8821e-004
7	6.3375e-004
8	2.5845e-005
9	-8.3854e-004
10	7.3828e-005
11	3.1212e-006
12	1.1853e-005
13	-2.9417e-004
14	1.6975e-004
15	-3.6242e-005
16	8.258e-005
17	-2.7729e-005
18	1.5913e-004
19	2.1808e-004
20	-2.4926e-004
21	-1.7204e-003
22	-1.7935e-004
23	-4.9624e-004
24	1.2072e-003
25	3.497e-004
26	4.3299e-004
27	4.9926e-004
28	5.5435e-004
29	5.9998e-004
30	6.3575e-004
31	6.6025e-004
32	6.7117e-004
33	6.6447e-004
34	6.3546e-004
35	5.7465e-004
36	4.7285e-004
37	3.1428e-004
38	-1.7842e-005
39	-8.5815e-004
40	-8.5184e-004
41	-1.0869e-003
42	-1.121e-003
43	-1.1068e-003
44	-1.0633e-003
45	-1.0005e-003
46	-9.2856e-004
47	-8.5155e-004
48	-7.7276e-004
49	-6.931e-004
50	-6.1235e-004
51	-5.2867e-004
52	-4.3733e-004
53	-3.2698e-004
54	2.1141e-004
55	-1.8829e-003
56	-1.8832e-003
57	-1.8554e-003
58	-1.7889e-003
59	-1.685e-003
60	-1.5486e-003
61	-1.3853e-003
62	-1.2011e-003
63	-1.0016e-003
64	-7.9275e-004
65	-5.8002e-004
66	-3.688e-004
67	-1.6425e-004
68	2.8509e-005
69	2.043e-004
70	3.5771e-004
71	4.8259e-004
72	5.7256e-004
73	6.1513e-004
74	5.8182e-004
75	6.3223e-004
76	5.7188e-004
77	5.2704e-004
78	4.7892e-004
79	4.352e-004
80	3.9412e-004
81	3.5591e-004
82	3.1998e-004
83	2.8579e-004
84	2.534e-004
85	2.2087e-004
86	1.9524e-004
87	1.4241e-004
88	1.6197e-004
89	1.0141e-004
90	4.4313e-005
91	8.3887e-005
92	3.3591e-005
93	1.3786e-005
94	2.589e-006
95	-6.3063e-006
96	-1.2565e-005
97	-1.493e-005
98	-1.4018e-005
99	-8.8589e-006
100	-1.9141e-006
101	8.695e-006
102	1.8163e-005
103	4.3218e-005
104	1.1731e-004
105	1.4544e-004
106	1.7995e-004
107	1.7995e-004
108	1.0366e-004
109	5.6375e-005
110	6.837e-005
111	6.5207e-005
112	8.185e-005
113	8.6774e-005
114	1.4488e-004
115	1.2692e-004
116	3.1115e-004
117	2.8447e-004
118	5.5265e-004
119	9.5226e-004
120	1.7342e-003
121	1.3208e-004
122	-2.1703e-003
123	-1.5244e-003
124	-6.2977e-004
125	-5.414e-004
126	-5.4129e-004
127	-5.5822e-004
128	-5.7378e-004
129	-5.9069e-004
130	-6.1017e-004
131	-6.3326e-004
132	-6.6064e-004
133	-6.9203e-004
134	-7.2897e-004
135	-7.6446e-004
136	-8.1436e-004
137	-7.6669e-004
138	-8.2471e-004
139	-8.0397e-004
140	-7.3986e-004
141	-6.4517e-004
142	-5.2519e-004
143	-3.8509e-004
144	-2.2945e-004
145	-6.2694e-005
146	1.1084e-004
147	2.8678e-004
148	4.6078e-004
149	6.2857e-004
150	7.862e-004
151	9.3025e-004
152	1.0577e-003
153	1.1653e-003
154	1.2477e-003
155	1.2983e-003
156	1.3147e-003
157	-1.0671e-004
158	-4.7994e-005
159	6.0639e-005
160	1.3429e-004
161	4.4241e-005
162	7.2656e-005
163	9.3317e-005
164	1.0941e-004
165	1.2255e-004
166	1.3357e-004
167	1.428e-004
168	1.501e-004
169	1.5479e-004
170	1.5553e-004
171	1.5008e-004
172	1.3524e-004
173	1.0727e-004
174	6.5323e-005
175	-3.3468e-006
176	-1.5297e-005
177	-2.8021e-005
178	-4.0801e-005
179	-5.3514e-005
180	-6.6139e-005
181	-7.8772e-005
182	-9.1572e-005
183	-1.0474e-004
184	-1.1849e-004
185	-1.3305e-004
186	-1.4861e-004
187	-1.6532e-004
188	-1.832e-004
189	-2.0208e-004
190	-2.2147e-004
191	-2.4043e-004
192	-2.5698e-004
193	-2.7336e-004
194	-3.1992e-004
195	-3.4548e-004
196	-3.683e-004
197	-3.8836e-004
198	-4.0273e-004
199	-4.0832e-004
200	-4.0101e-004
201	-3.7577e-004
202	-3.2683e-004
203	-2.4871e-004
204	-1.39e-004
205	-8.3659e-006
206	9.9322e-005
207	-8.5486e-005
208	-4.0338e-004
209	-2.4443e-004
210	1.1987e-005
211	-2.5166e-005
212	-3.6147e-005
213	-5.9379e-006
214	4.4891e-006
215	3.6075e-005
216	3.785e-005
217	6.0277e-005
218	6.7934e-005
219	8.3685e-005
220	9.6927e-005
221	1.1594e-004
222	1.3757e-004
223	-2.5175e-004
224	-2.6405e-004
225	-2.681e-004
226	-2.6233e-004
227	-2.4553e-004
228	-2.2158e-004
229	-1.9562e-004
230	-1.7235e-004
231	-1.5494e-004
232	-1.4475e-004
233	-1.4134e-004
234	-1.4286e-004
235	-1.4654e-004
236	-1.4932e-004
237	-1.4835e-004
238	-1.4142e-004
239	-1.2719e-004
240	-1.0555e-004
241	-7.7517e-005
242	-2.7417e-005
243	-2.596e-005
244	-1.1329e-005
245	3.0934e-006
246	1.603e-005
247	2.5554e-005
248	3.1312e-005
249	3.3059e-005
250	3.0978e-005
251	2.5513e-005
252	1.71e-005
253	6.745e-006
254	-9.5453e-006
255	-2.9414e-005
256	-5.5292e-005
257	-3.7645e-005
258	-2.6252e-005
259	-5.9425e-005
260	-6.6336e-005
261	-5.888e-005
262	-5.2341e-005
263	-4.1249e-005
264	-3.3184e-005
265	-1.8588e-005
266	-5.7064e-006
267	9.8166e-006
268	2.3995e-005
269	3.8417e-005
270	5.4699e-005
271	-4.2163e-004
272	-3.8158e-004
273	-3.465e-004
274	-3.1887e-004
275	-2.9977e-004
276	-2.8491e-004
277	-2.6954e-004
278	-2.5001e-004
279	-2.2431e-004
280	-1.922e-004
281	-1.5499e-004
282	-1.152e-004
283	-7.5946e-005
284	-4.0506e-005
285	-1.1795e-005
286	7.9226e-006
287	1.7273e-005
288	1.6091e-005
289	5.6963e-006
290	-3.6764e-005
291	-3.6015e-005
292	-4.9838e-005
293	-6.0281e-005
294	-6.7486e-005
295	-6.7487e-005
296	-5.6947e-005
297	-3.0436e-005
298	1.9991e-005
299	1.0636e-004
300	2.4654e-004
301	4.6306e-004
302	7.7636e-004
303	1.0826e-003
304	1.023e-003
305	1.1064e-003
306	1.1996e-003
307	7.5758e-004
308	3.9091e-004
309	1.8126e-004
310	1.0385e-004
311	1.2342e-004
312	1.0374e-004
313	1.2333e-004
314	1.1892e-004
315	1.2356e-004
316	1.2206e-004
317	1.224e-004
318	1.2937e-004
319	-7.6198e-004
320	-2.7485e-004
321	2.3243e-004
322	3.6508e-004
323	-2.2477e-004
324	-4.1824e-005
325	-1.8284e-004
326	-2.3954e-004
327	-1.7485e-004
328	1.8231e-004
329	-1.3659e-003
330	9.5085e-004
331	-1.8761e-004
332	2.3271e-004
333	3.341e-004
334	4.2187e-004
335	4.917e-004
336	5.5056e-004
337	6.019e-004
338	6.4649e-004
339	6.8405e-004
340	7.1312e-004
341	7.3137e-004
342	7.3459e-004
343	7.1852e-004
344	6.7201e-004
345	5.826e-004
346	4.2818e-004
347	-9.7472e-004
348	-2.9852e-004
349	-3.9737e-004
350	-4.7943e-004
351	-5.5556e-004
352	-6.3116e-004
353	-7.0881e-004
354	-7.8967e-004
355	-8.7359e-004
356	-9.5933e-004
357	-1.0431e-003
358	-1.1204e-003
359	-1.1786e-003
360	-1.1973e-003
361	-1.1496e-003
362	3.0504e-004
363	-3.8763e-004
364	-4.5844e-004
365	3.4145e-004
366	4.2768e-004
367	4.9632e-004
368	5.5354e-004
369	6.0193e-004
370	6.4148e-004
371	6.7124e-004
372	6.8909e-004
373	6.9198e-004
374	6.7453e-004
375	6.3285e-004
376	5.4856e-004
377	4.3555e-004
378	1.7255e-004
379	-9.0843e-004
380	-1.0422e-003
381	-1.1867e-003
382	-1.1697e-003
383	-1.1371e-003
384	-1.0734e-003
385	-1.0001e-003
386	-9.2022e-004
387	-8.3857e-004
388	-7.5704e-004
389	-6.7635e-004
390	-5.9576e-004
391	-5.1305e-004
392	-4.2315e-004
393	-3.1397e-004
394	2.4049e-004
395	-9.9337e-004
396	-9.9882e-004
397	-9.7968e-004
398	-9.3303e-004
399	-8.5554e-004
400	-7.5343e-004
401	-6.3659e-004
402	-5.1501e-004
403	-3.9723e-004
404	-2.8968e-004
405	-1.9652e-004
406	-1.1964e-004
407	-5.8884e-005
408	-1.2414e-005
409	2.2909e-005
410	5.1103e-005
411	7.6713e-005
412	1.0403e-004
413	1.373e-004
414	1.9011e-004
415	2.1462e-004
416	2.3743e-004
417	2.5092e-004
418	2.5595e-004
419	2.5417e-004
420	2.4642e-004
421	2.3361e-004
422	2.1664e-004
423	1.9642e-004
424	1.7388e-004
425	1.5008e-004
426	1.2631e-004
427	1.1283e-004
428	7.1405e-005
429	3.1939e-005
430	4.5181e-005
431	3.1922e-005
432	1.3989e-006
433	-1.1073e-005
434	-1.5268e-005
435	-1.6345e-005
436	-1.6576e-005
437	-1.3065e-005
438	-7.577e-006
439	1.0086e-006
440	1.0292e-005
441	2.0879e-005
442	3.0306e-005
443	8.3597e-005
444	9.2582e-005
445	9.6897e-005
446	1.1028e-004
447	1.1843e-004
448	1.5189e-004
449	1.5463e-004
450	2.4652e-004
451	2.5805e-004
452	3.6728e-004
453	1.0644e-004
454	-1.4204e-003
455	-1.5905e-003
456	1.1513e-003
457	1.915e-003
458	6.6357e-004
459	1.8777e-004
460	-2.3726e-005
461	-1.3851e-004
462	-2.0796e-004
463	-2.5259e-004
464	-2.8177e-004
465	-2.9985e-004
466	-3.088e-004
467	-3.0937e-004
468	-3.0214e-004
469	-2.8615e-004
470	-2.6448e-004
471	-2.3241e-004
472	-1.9443e-004
473	-1.8075e-004
474	-1.7917e-004
475	-1.836e-004
476	-1.8911e-004
477	-1.9087e-004
478	-1.8466e-004
479	-1.6706e-004
480	-1.3575e-004
481	-8.9849e-005
482	-3.0165e-005
483	4.0573e-005
484	1.1771e-004
485	1.9471e-004
486	2.6327e-004
487	3.1388e-004
488	3.3839e-004
489	3.3882e-004
490	3.2346e-004
491	-1.9853e-004
492	-7.9252e-005
493	-2.7244e-004
494	-1.0539e-004
495	-3.3388e-004
496	-1.2814e-004
497	-3.9265e-004
498	-1.5202e-004
499	-4.5401e-004
500	-1.7945e-004
501	-5.2092e-004
502	-2.1187e-004
503	-5.952e-004
504	-2.5024e-004
505	-6.7772e-004
506	-2.9492e-004
507	-7.6804e-004
508	-3.4516e-004
509	-8.6344e-004
510	-3.9809e-004
511	-9.572e-004
512	-4.4684e-004
513	-1.0352e-003
514	-4.7815e-004
515	-1.0712e-003
516	-4.7014e-004
517	-1.0118e-003
518	-4.0163e-004
519	1.5976e-004
520	2.5724e-004
521	2.3161e-004
522	3.4865e-004
523	2.8691e-004
524	4.2013e-004
525	3.3469e-004
526	4.8189e-004
527	3.796e-004
528	5.3902e-004
529	4.2416e-004
530	5.9401e-004
531	4.6957e-004
532	6.4798e-004
533	5.1578e-004
534	7.0089e-004
535	5.6107e-004
536	7.5144e-004
537	6.0098e-004
538	7.9644e-004
539	6.265e-004
540	8.2963e-004
541	6.218e-004
542	8.3916e-004
543	5.6281e-004
544	8.0303e-004
545	4.2526e-004
546	6.7546e-004
547	-2.3983e-004
548	-2.3336e-004
549	-2.2957e-004
550	-2.2659e-004
551	-2.2379e-004
552	-2.2067e-004
553	-2.1654e-004
554	-2.1055e-004
555	-2.0172e-004
556	-1.8904e-004
557	-1.7151e-004
558	-1.4825e-004
559	-1.1854e-004
560	-8.1899e-005
561	-3.8126e-005
562	1.2641e-005
563	6.9946e-005
564	1.3299e-004
565	2.0106e-004
566	-1.7729e-004
567	-1.8585e-004
568	-1.9344e-004
569	-1.9915e-004
570	-2.0116e-004
571	-1.9761e-004
572	-1.8696e-004
573	-1.6814e-004
574	-1.4069e-004
575	-1.0491e-004
576	-6.1871e-005
577	-1.3339e-005
578	3.8394e-005
579	9.0821e-005
580	1.4158e-004
581	1.8879e-004
582	2.3143e-004
583	2.6916e-004
584	3.0509e-004
585	-2.3422e-004
586	-1.8226e-004
587	-1.3484e-004
588	-9.3345e-005
589	-5.8445e-005
590	-3.049e-005
591	-9.5163e-006
592	4.6838e-006
593	1.2493e-005
594	1.4407e-005
595	1.0974e-005
596	2.7395e-006
597	-9.7994e-006
598	-2.6236e-005
599	-4.6292e-005
600	-6.9855e-005
601	-9.6858e-005
602	-1.2697e-004
603	-1.5566e-004
604	-6.8212e-004
605	-6.0834e-004
606	-5.3713e-004
607	-4.6408e-004
608	-3.8951e-004
609	-3.1452e-004
610	-2.411e-004
611	-1.7161e-004
612	-1.0842e-004
613	-5.3623e-005
614	-8.7372e-006
615	2.5352e-005
616	4.8424e-005
617	6.0824e-005
618	6.3291e-005
619	5.6743e-005
620	4.1874e-005
621	1.8659e-005
622	-1.5835e-005
623	8.0405e-005
624	1.092e-004
625	5.7901e-005
626	8.5169e-005
627	3.9109e-005
628	6.3367e-005
629	2.3489e-005
630	4.664e-005
631	4.3486e-006
632	2.6716e-005
633	-1.0729e-005
634	1.2787e-005
635	-3.3747e-005
636	-1.3386e-005
637	-4.8333e-005
638	-2.5753e-005
639	-6.9033e-005
640	-5.9245e-005
641	-8.0804e-005
642	-7.5961e-005
643	-1.0262e-004
644	-9.1256e-005
645	-1.3385e-004
646	-1.0476e-004
647	-1.3547e-004
648	-1.7333e-004
649	-1.2409e-004
650	-2.0524e-004
651	-1.1126e-004
652	-2.0345e-004
653	-1.2983e-004
654	-2.0237e-004
655	-1.5953e-004
656	-1.8403e-004
657	-1.6127e-004
658	-2.0647e-004
659	-1.5398e-004
660	-2.3768e-004
661	-1.469e-004
662	-2.5933e-004
663	-1.4168e-004
664	-2.704e-004
665	-1.3864e-004
666	-2.7381e-004
667	-1.3771e-004
668	-2.7255e-004
669	-1.388e-004
670	-2.6879e-004
671	-1.4176e-004
672	-2.6398e-004
673	-1.464e-004
674	-2.5901e-004
675	-1.5195e-004
676	-2.5473e-004
677	-1.6e-004
678	-2.5099e-004
679	-1.6883e-004
680	-2.4624e-004
681	1.4929e-004
682	1.458e-004
683	1.282e-004
684	1.3004e-004
685	1.109e-004
686	1.2028e-004
687	1.0037e-004
688	1.1867e-004
689	8.7259e-005
690	1.1029e-004
691	8.3798e-005
692	1.182e-004
693	5.5527e-005
694	9.0549e-005
695	6.4497e-005
696	1.2786e-004
697	2.3604e-005
698	8.231e-005
699	3.5647e-005
700	1.2887e-004
701	-2.1567e-005
702	1.6843e-004
703	-1.2935e-004
704	4.0023e-004
705	-1.1924e-004
706	6.2723e-004
707	1.7563e-004
708	2.7223e-004
709	2.922e-004
710	-3.6589e-004
711	-3.1246e-005
712	-5.3117e-004
713	-3.105e-004
714	-2.8414e-004
715	-4.1455e-004
716	-1.0779e-004
717	-4.1626e-004
718	-3.9959e-005
719	-3.8863e-004
720	-2.8095e-005
721	-3.5847e-004
722	-3.8126e-005
723	-3.3259e-004
724	-5.3112e-005
725	-3.1087e-004
726	-6.5718e-005
727	-2.9163e-004
728	-7.3541e-005
729	-2.7336e-004
730	-7.6462e-005
731	-2.55e-004
732	-7.5422e-005
733	-2.3598e-004
734	-7.1833e-005
735	-2.1575e-004
736	-6.6325e-005
737	-1.9932e-004
738	-5.7775e-005
739	2.5328e-004
740	9.1237e-006
741	-1.2246e-006
742	-4.8555e-005
743	-2.7833e-007
744	5.1866e-005
745	-1.7216e-007
746	-4.7996e-004
747	6.2656e-006
748	-6.7689e-006
749	-3.2383e-006
750	-4.8755e-005
751	-1.9594e-006
752	2.8987e-005
753	-3.222e-007
754	-2.3532e-004
755	-1.1446e-004
756	-5.7906e-005
757	-3.4774e-004
758	3.1897e-005
759	8.513e-006
760	1.1096e-005
761	4.4043e-006
762	-2.8888e-006
763	-9.9268e-006
764	-1.7127e-005
765	-2.4236e-005
766	-3.1448e-005
767	-3.8307e-005
768	-4.4897e-005
769	-5.4035e-005
770	-5.1016e-005
771	-1.1056e-004
772	8.1633e-005
773	-7.e-004
774	8.4048e-007
775	-1.8097e-004
776	-2.7064e-004
777	-3.5877e-004
778	-4.3942e-004
779	-5.0927e-004
780	-5.6439e-004
781	-6.0156e-004
782	-6.1916e-004
783	-6.1745e-004
784	-5.982e-004
785	-5.6396e-004
786	-5.176e-004
787	-4.6203e-004
788	-4.0006e-004
789	-3.3437e-004
790	-2.6753e-004
791	-2.0209e-004
792	-1.4071e-004
793	-8.6537e-005
794	-3.654e-005
795	-1.0023e-005
796	-1.0217e-005
797	-1.0846e-005
798	-1.2325e-005
799	-1.3983e-005
800	-1.5732e-005
801	-1.7435e-005
802	-1.9016e-005
803	-2.0403e-005
804	-2.1537e-005
805	-2.237e-005
806	-2.2864e-005
807	-2.2995e-005
808	-2.2754e-005
809	-2.2146e-005
810	-2.1187e-005
811	-1.9905e-005
812	-1.8338e-005
813	-1.6529e-005
814	-1.4529e-005
815	-1.2392e-005
816	-1.018e-005
817	-7.9607e-006
818	-5.8092e-006
819	-3.8133e-006
820	-2.0749e-006
821	-7.4304e-007
822	-1.1258e-007
823	-9.6373e-007
824	-2.7173e-006
825	-3.175e-006
826	-2.3198e-006
827	-1.3504e-006
828	1.9692e-007
829	-4.0244e-007
830	7.1738e-007
831	1.7983e-006
832	2.9209e-006
833	4.1537e-006
834	5.5299e-006
835	7.062e-006
836	8.7489e-006
837	1.0579e-005
838	1.2535e-005
839	1.4592e-005
840	1.6721e-005
841	1.8889e-005
842	2.1065e-005
843	2.3215e-005
844	2.5312e-005
845	2.7333e-005
846	2.9265e-005
847	3.1105e-005
848	3.2865e-005
849	3.4565e-005
850	3.6237e-005
851	3.7918e-005
852	3.964e-005
853	4.144e-005
854	4.3298e-005
855	4.5361e-005
856	4.7134e-005
857	4.8761e-005
858	5.4639e-005
859	5.7111e-005
860	5.7979e-005
861	5.75e-005
862	5.5874e-005
863	5.3234e-005
864	4.9697e-005
865	4.5369e-005
866	4.0365e-005
867	3.4829e-005
868	2.8962e-005
869	2.3053e-005
870	1.7504e-005
871	1.2835e-005
872	9.6003e-006
873	8.1589e-006
874	8.3349e-006
875	9.4883e-006
876	1.0513e-005
877	-4.3358e-004
878	-4.9976e-004
879	-4.1926e-004
880	-3.3018e-004
881	-4.8885e-004
882	-5.7004e-004
883	-6.4352e-004
884	-6.9384e-004
885	-7.1255e-004
886	-7.0284e-004
887	-6.6673e-004
888	-6.0552e-004
889	-5.2099e-004
890	-4.1658e-004
891	-2.9936e-004
892	-1.8182e-004
893	-8.161e-005
894	-1.5577e-005
895	3.0557e-005
896	3.4168e-005
897	3.6084e-005
898	3.6447e-005
899	3.5623e-005
900	3.3884e-005
901	3.1449e-005
902	2.8492e-005
903	2.516e-005
904	2.1583e-005
905	1.7881e-005
906	1.4166e-005
907	1.0538e-005
908	7.09e-006
909	3.9001e-006
910	1.0372e-006
911	-1.4561e-006
912	-3.5983e-006
913	-5.375e-006
914	-9.0705e-006
915	-8.7243e-006
916	-9.4391e-006
917	-9.5752e-006
918	-9.5118e-006
919	-9.2528e-006
920	-8.8452e-006
921	-8.317e-006
922	-7.6972e-006
923	-7.0112e-006
924	-6.2815e-006
925	-5.5279e-006
926	-4.7675e-006
927	-4.0149e-006
928	-3.2825e-006
929	-2.5807e-006
930	-1.9184e-006
931	-1.3033e-006
932	-7.4258e-007
933	-2.4314e-007
934	1.8698e-007
935	5.3749e-007
936	7.9393e-007
937	9.3476e-007
938	9.2792e-007
939	7.263e-007
940	2.6593e-007
941	-5.4567e-007
942	-1.8407e-006
943	-1.3849e-005
944	1.2518e-005
945	2.5769e-005
946	3.0081e-005
947	2.8592e-005
948	2.4235e-005
949	1.9211e-005
950	1.4505e-005
951	1.0075e-005
952	5.3854e-006
953	-1.1581e-007
954	-6.7119e-006
955	-1.4328e-005
956	-2.2574e-005
957	-3.085e-005
958	-3.846e-005
959	-4.4705e-005
960	-4.8933e-005
961	-5.0597e-005
962	-4.8345e-005
963	-4.9145e-005
964	-4.7519e-005
965	-4.4951e-005
966	-4.2091e-005
967	-3.9172e-005
968	-3.632e-005
969	-3.3611e-005
970	-3.108e-005
971	-2.8736e-005
972	-2.6566e-005
973	-2.4546e-005
974	-2.2644e-005
975	-2.0827e-005
976	-1.9065e-005
977	-1.7333e-005
978	-1.5614e-005
979	-1.39e-005
980	-1.2191e-005
981	-1.0493e-005
982	-8.821e-006
983	-7.1976e-006
984	-5.6506e-006
985	-4.2158e-006
986	-2.9378e-006
987	-1.8752e-006
988	-1.1044e-006
989	-7.3872e-007
990	-9.9665e-007
991	3.77e-005
992	3.7478e-005
993	3.5086e-005
994	3.1633e-005
995	2.8152e-005
996	2.5235e-005
997	2.3036e-005
998	2.1467e-005
999	2.0397e-005
1000	1.973e-005
1001	1.9429e-005
1002	1.9493e-005
1003	1.9937e-005
1004	2.0766e-005
1005	2.1957e-005
1006	2.3446e-005
1007	2.5115e-005
1008	2.679e-005
1009	2.8242e-005
1010	2.9526e-005
1011	2.9406e-005
1012	2.949e-005
1013	2.9578e-005
1014	2.9439e-005
1015	2.9066e-005
1016	2.8436e-005
1017	2.7559e-005
1018	2.6457e-005
1019	2.5161e-005
1020	2.3712e-005
1021	2.215e-005
1022	2.0516e-005
1023	1.8848e-005
1024	1.7178e-005
1025	1.5535e-005
1026	1.3944e-005
1027	1.2424e-005
1028	1.099e-005
1029	9.6532e-006
1030	8.4208e-006
1031	7.2962e-006
1032	6.2777e-006
1033	5.3567e-006
1034	4.5128e-006
1035	3.7045e-006
1036	2.8475e-006
1037	1.7852e-006
1038	2.0026e-007
1039	1.3632e-005
1040	-2.2233e-005
1041	1.4311e-004
1042	1.416e-004
1043	3.4162e-005
1044	1.9146e-005
1045	6.6928e-006
1046	-2.0379e-005
1047	-3.377e-005
1048	-5.0849e-005
1049	1.6559e-004
1050	2.629e-006
1051	7.1054e-005
1052	-2.1386e-004
1053	-3.5553e-004
1054	-4.6728e-004
1055	-5.6053e-004
1056	-6.4526e-004
1057	-7.2401e-004
1058	-7.9725e-004
1059	-8.6394e-004
1060	-9.2108e-004
1061	-9.639e-004
1062	-9.8377e-004
1063	-9.679e-004
1064	-8.9442e-004
1065	-7.2127e-004
1066	-3.8849e-004
1067	-3.1785e-005
1068	-7.493e-004
1069	-4.8504e-004
1070	-3.4399e-004
1071	-3.2428e-004
1072	-2.6182e-004
1073	-2.3464e-004
1074	-1.9519e-004
1075	-1.6356e-004
1076	-1.2889e-004
1077	-9.6086e-005
1078	-6.3691e-005
1079	-3.2805e-005
1080	-3.6385e-006
1081	2.2899e-005
1082	2.1016e-005
1083	1.8799e-005
1084	-2.2383e-004
1085	-3.3935e-004
1086	-4.5066e-004
1087	-5.4295e-004
1088	-6.2725e-004
1089	-7.0775e-004
1090	-7.8573e-004
