Node Number	Shear Elastic Strain (mm/mm)
1	4.1314e-005
2	-8.1465e-004
3	-1.2438e-003
4	1.6864e-004
5	-1.2222e-003
6	-2.0473e-003
7	-1.7731e-004
8	-7.6443e-005
9	1.0729e-004
10	1.6914e-005
11	-2.736e-005
12	3.8068e-004
13	-1.7003e-004
14	-1.5349e-004
15	8.3559e-006
16	-1.0082e-004
17	9.0823e-005
18	-1.0312e-004
19	2.1913e-005
20	-7.2089e-004
21	-1.2324e-003
22	1.3884e-004
23	-8.5063e-004
24	-2.4518e-003
25	3.8337e-005
26	2.4041e-007
27	-9.1955e-006
28	-2.1379e-005
29	-3.316e-005
30	-4.7241e-005
31	-6.3963e-005
32	-8.4441e-005
33	-1.0982e-004
34	-1.4255e-004
35	-1.8541e-004
36	-2.4587e-004
37	-3.3631e-004
38	-4.7851e-004
39	-9.2724e-004
40	-4.8998e-004
41	-1.6065e-004
42	-2.0848e-005
43	5.8125e-005
44	1.0283e-004
45	1.2643e-004
46	1.3833e-004
47	1.4318e-004
48	1.4413e-004
49	1.4319e-004
50	1.4133e-004
51	1.4249e-004
52	1.4328e-004
53	1.884e-004
54	-1.5808e-003
55	-1.1038e-003
56	-9.8764e-004
57	-9.0192e-004
58	-8.3645e-004
59	-7.8482e-004
60	-7.414e-004
61	-7.0177e-004
62	-6.6289e-004
63	-6.2312e-004
64	-5.8191e-004
65	-5.3933e-004
66	-4.9584e-004
67	-4.5197e-004
68	-4.0821e-004
69	-3.6492e-004
70	-3.2227e-004
71	-2.8022e-004
72	-2.3895e-004
73	-1.9624e-004
74	-1.3152e-004
75	-1.4786e-004
76	-1.2957e-004
77	-1.2133e-004
78	-1.131e-004
79	-1.0857e-004
80	-1.0635e-004
81	-1.0624e-004
82	-1.0772e-004
83	-1.1044e-004
84	-1.1442e-004
85	-1.1866e-004
86	-1.2677e-004
87	-1.2118e-004
88	-1.5442e-004
89	-1.4466e-004
90	-1.3087e-004
91	-1.7432e-004
92	-1.6673e-004
93	-1.6625e-004
94	-1.745e-004
95	-1.7143e-004
96	-1.7793e-004
97	-1.6899e-004
98	-1.6772e-004
99	-1.55e-004
100	-1.4472e-004
101	-1.2461e-004
102	-1.05e-004
103	-6.8009e-005
104	-1.1889e-004
105	-1.2906e-004
106	-1.6736e-004
107	-1.5284e-004
108	-3.5982e-005
109	4.6697e-005
110	5.508e-005
111	1.2313e-004
112	1.6894e-004
113	2.6237e-004
114	3.2212e-004
115	4.1409e-004
116	3.0424e-004
117	3.1595e-004
118	-2.0674e-004
119	-1.2937e-003
120	-4.1553e-003
121	-4.7133e-003
122	-2.8871e-003
123	-1.9114e-003
124	-1.1918e-003
125	-7.3257e-004
126	-4.682e-004
127	-2.9705e-004
128	-1.8365e-004
129	-1.043e-004
130	-4.5614e-005
131	8.3899e-007
132	4.0334e-005
133	7.5783e-005
134	1.0981e-004
135	1.3983e-004
136	1.7473e-004
137	1.1925e-004
138	4.8666e-005
139	-2.8636e-005
140	-1.3253e-004
141	-2.5571e-004
142	-3.9545e-004
143	-5.4903e-004
144	-7.1386e-004
145	-8.8718e-004
146	-1.0659e-003
147	-1.2467e-003
148	-1.4258e-003
149	-1.5993e-003
150	-1.7634e-003
151	-1.915e-003
152	-2.0522e-003
153	-2.1747e-003
154	-2.2835e-003
155	-2.3806e-003
156	-2.4747e-003
157	6.4728e-005
158	4.0978e-006
159	-2.9525e-005
160	-6.7261e-006
161	2.8772e-005
162	3.3747e-005
163	5.9978e-005
164	7.9367e-005
165	9.7488e-005
166	1.1487e-004
167	1.3327e-004
168	1.5391e-004
169	1.7789e-004
170	2.0608e-004
171	2.3883e-004
172	2.7553e-004
173	3.1315e-004
174	3.4467e-004
175	3.7798e-004
176	3.6783e-004
177	3.5671e-004
178	3.4414e-004
179	3.2987e-004
180	3.1369e-004
181	2.9541e-004
182	2.7491e-004
183	2.5206e-004
184	2.2678e-004
185	1.9898e-004
186	1.6862e-004
187	1.3562e-004
188	9.9939e-005
189	6.1475e-005
190	2.0063e-005
191	-2.4554e-005
