Node Number	Normal Elastic Strain (mm/mm)
1	3.8404e-005
2	4.2246e-004
3	4.8189e-004
4	-1.9715e-004
5	-8.7026e-005
6	-1.8169e-004
7	7.5982e-004
8	-3.3068e-005
9	-7.9456e-004
10	-1.045e-004
11	-6.8999e-005
12	-9.2411e-005
13	-1.7476e-005
14	-6.7475e-005
15	3.0542e-004
16	-1.102e-005
17	-3.9183e-004
18	-1.0544e-004
19	2.7609e-005
20	5.0089e-004
21	7.1119e-004
22	-1.778e-004
23	-2.4315e-004
24	-2.6264e-004
25	1.0986e-004
26	6.781e-005
27	5.362e-005
28	4.5964e-005
29	4.5656e-005
30	5.0369e-005
31	5.97e-005
32	7.3542e-005
33	9.2283e-005
34	1.1681e-004
35	1.4844e-004
36	1.896e-004
37	2.4364e-004
38	3.1301e-004
39	4.2853e-004
40	-9.8421e-005
41	-1.1079e-004
42	-1.1916e-004
43	-1.3075e-004
44	-1.4462e-004
45	-1.6039e-004
46	-1.7861e-004
47	-1.9969e-004
48	-2.2421e-004
49	-2.5355e-004
50	-2.8825e-004
51	-3.3603e-004
52	-3.8425e-004
53	-5.1864e-004
54	-1.1887e-004
55	7.2742e-004
56	7.5551e-004
57	7.9031e-004
58	8.2792e-004
59	8.6654e-004
60	9.0468e-004
61	9.4065e-004
62	9.7282e-004
63	9.9983e-004
64	1.0207e-003
65	1.0347e-003
66	1.0414e-003
67	1.0403e-003
68	1.0311e-003
69	1.0132e-003
70	9.8576e-004
71	9.4771e-004
72	8.9752e-004
73	8.3307e-004
74	7.28e-004
75	7.0222e-004
76	6.7129e-004
77	6.3982e-004
78	6.0731e-004
79	5.7476e-004
80	5.4238e-004
81	5.1046e-004
82	4.7902e-004
83	4.4824e-004
84	4.1769e-004
85	3.883e-004
86	3.5778e-004
87	3.2909e-004
88	2.989e-004
89	2.7351e-004
90	2.39e-004
91	2.1236e-004
92	1.8442e-004
93	1.4967e-004
94	1.3181e-004
95	9.0676e-005
96	7.8377e-005
97	4.0704e-005
98	2.8966e-005
99	1.4386e-008
100	-8.69e-006
101	-3.0349e-005
102	-2.884e-005
103	-7.5122e-006
104	-2.781e-005
105	-4.9884e-005
106	-8.0902e-005
107	-9.1895e-005
108	-1.0036e-004
109	5.4928e-006
110	-6.6218e-005
111	-2.2203e-005
112	-1.2613e-004
113	-1.7345e-005
114	-3.5893e-004
115	1.5207e-004
116	-9.3306e-004
117	-9.9969e-005
118	-1.3501e-003
119	-1.129e-003
120	-7.5286e-004
121	-5.2937e-004
122	9.7636e-005
123	-1.1639e-003
124	-1.0261e-003
125	-8.8815e-004
126	-7.7065e-004
127	-7.1065e-004
128	-6.8219e-004
129	-6.743e-004
130	-6.7837e-004
131	-6.899e-004
132	-7.0606e-004
133	-7.2509e-004
134	-7.4581e-004
135	-7.6674e-004
136	-7.8784e-004
137	-7.9017e-004
138	-8.2029e-004
139	-8.3366e-004
140	-8.3482e-004
141	-8.26e-004
142	-8.0868e-004
143	-7.8418e-004
144	-7.536e-004
145	-7.18e-004
146	-6.7838e-004
147	-6.3579e-004
148	-5.9133e-004
149	-5.4618e-004
150	-5.0153e-004
151	-4.5848e-004
152	-4.1785e-004
153	-3.7978e-004
154	-3.4333e-004
155	-3.0631e-004
156	-2.659e-004
157	-1.5094e-004
158	-1.104e-004
159	-3.0422e-005
160	2.7278e-006
161	-1.9366e-004
162	-1.6102e-004
163	-1.5178e-004
164	-1.3878e-004
165	-1.2819e-004
166	-1.1839e-004
167	-1.0994e-004
168	-1.0288e-004
169	-9.7451e-005
170	-9.3806e-005
171	-9.2038e-005
172	-9.2038e-005
173	-9.3327e-005
174	-9.5255e-005
175	-9.1667e-005
176	-8.9698e-005
177	-8.7529e-005
178	-8.4882e-005
179	-8.1871e-005
180	-7.85e-005
181	-7.4813e-005
182	-7.0848e-005
183	-6.6652e-005
184	-6.2275e-005
185	-5.7777e-005
186	-5.3224e-005
187	-4.8696e-005
188	-4.4289e-005
189	-4.0112e-005
190	-3.6303e-005
191	-3.3012e-005
192	-3.044e-005
193	-2.9063e-005
194	-3.7722e-006
195	-3.384e-006
196	-2.9753e-006
197	-2.989e-006
198	-3.1938e-006
199	-3.2466e-006
200	-2.5774e-006
201	-3.4158e-007
202	4.5134e-006
203	1.3358e-005
204	2.6619e-005
205	4.5013e-005
206	5.82e-005
207	6.2872e-005
208	-3.8594e-006
209	4.2546e-005
210	-1.2722e-006
211	4.4093e-005
212	4.0096e-005
213	-2.9665e-005
214	1.0769e-004
215	-8.8179e-005
216	1.1539e-004
217	-5.9491e-005
218	5.291e-005
219	-1.9501e-005
220	2.5217e-005
221	-3.7971e-005
222	3.1807e-005
223	5.2664e-004
224	5.7829e-004
225	6.1949e-004
226	6.4986e-004
227	6.6881e-004
228	6.7625e-004
229	6.7269e-004
230	6.5923e-004
231	6.3746e-004
232	6.0925e-004
233	5.7657e-004
234	5.4134e-004
235	5.0526e-004
236	4.6973e-004
237	4.3587e-004
238	4.0447e-004
239	3.7605e-004
240	3.5079e-004
241	3.2852e-004
242	3.0042e-004
243	3.0037e-004
244	2.997e-004
245	2.9819e-004
246	2.9564e-004
247	2.9193e-004
248	2.8704e-004
249	2.8099e-004
250	2.7376e-004
251	2.6555e-004
252	2.5591e-004
253	2.4623e-004
254	2.3245e-004
255	2.2449e-004
256	2.0181e-004
257	1.9762e-004
258	1.7672e-004
259	1.6573e-004
260	1.5307e-004
261	1.2182e-004
262	1.3252e-004
263	7.9599e-005
264	1.0276e-004
265	5.0214e-005
266	6.3644e-005
267	2.7673e-005
268	3.3891e-005
269	4.1087e-006
270	2.4576e-005
271	-3.0051e-004
272	-3.56e-004
273	-4.0973e-004
274	-4.5989e-004
275	-5.0466e-004
276	-5.4227e-004
277	-5.7148e-004
278	-5.9168e-004
279	-6.0284e-004
280	-6.0551e-004
281	-6.0058e-004
282	-5.8918e-004
283	-5.7255e-004
284	-5.5186e-004
285	-5.2818e-004
286	-5.0243e-004
287	-4.7537e-004
288	-4.4774e-004
289	-4.2069e-004
290	-3.9852e-004
291	-3.9197e-004
292	-3.8953e-004
293	-3.8756e-004
294	-3.8651e-004
295	-3.8697e-004
296	-3.9018e-004
297	-3.9816e-004
298	-4.1427e-004
299	-4.4383e-004
300	-4.9647e-004
301	-5.8566e-004
302	-7.4253e-004
303	-9.804e-004
304	-1.4224e-003
305	-8.5593e-004
306	-1.1055e-003
307	-5.3458e-004
308	-2.8412e-004
309	-5.9566e-004
310	2.188e-004
311	-6.0464e-004
312	1.9879e-004
313	-2.6704e-004
314	2.8433e-005
315	-9.2072e-005
316	-5.9461e-006
317	-7.069e-005
318	7.715e-006
319	-4.2755e-004
320	-2.7466e-004
321	1.2604e-004
322	4.5949e-004
323	-5.3395e-004
324	-2.5262e-004
325	-1.2805e-004
326	8.3595e-005
327	1.8354e-004
328	4.6341e-004
329	5.9335e-004
330	-2.3942e-004
331	-1.9231e-004
332	3.5402e-005
333	8.4465e-005
334	5.0359e-005
335	3.7595e-005
336	3.1264e-005
337	3.1323e-005
338	3.5953e-005
339	4.4742e-005
340	5.7661e-005
341	7.5207e-005
342	9.8398e-005
343	1.2913e-004
344	1.7046e-004
345	2.2825e-004
346	3.1631e-004
347	5.5143e-004
348	-4.8942e-004
349	-3.702e-004
350	-3.2684e-004
351	-2.8388e-004
352	-2.5259e-004
353	-2.2635e-004
354	-2.0475e-004
355	-1.8674e-004
356	-1.7206e-004
357	-1.6073e-004
358	-1.5347e-004
359	-1.5175e-004
360	-1.6086e-004
361	-1.972e-004
362	-2.1149e-004
363	-1.3432e-004
364	4.9094e-004
365	9.9493e-005
366	6.0624e-005
367	4.6657e-005
368	3.9704e-005
369	3.9834e-005
370	4.4978e-005
371	5.4723e-005
372	6.9029e-005
373	8.8418e-005
374	1.1385e-004
375	1.4728e-004
376	1.9086e-004
377	2.5098e-004
378	3.315e-004
379	4.874e-004
380	-1.4255e-004
381	-1.3235e-004
382	-1.309e-004
383	-1.3846e-004
384	-1.4907e-004
385	-1.628e-004
386	-1.7941e-004
387	-1.992e-004
388	-2.2259e-004
389	-2.5082e-004
390	-2.844e-004
391	-3.3071e-004
392	-3.777e-004
393	-5.0793e-004
394	-1.728e-004
395	6.0283e-004
396	6.5665e-004
397	7.0145e-004
398	7.3955e-004
399	7.7053e-004
400	7.9354e-004
401	8.0787e-004
402	8.1327e-004
403	8.0992e-004
404	7.9842e-004
405	7.7965e-004
406	7.5469e-004
407	7.2472e-004
408	6.9091e-004
409	6.5438e-004
410	6.1617e-004
411	5.7722e-004
412	5.3837e-004
413	5.0068e-004
414	4.5652e-004
415	4.518e-004
416	4.4432e-004
417	4.3521e-004
418	4.2454e-004
419	4.1235e-004
420	3.9872e-004
421	3.8378e-004
422	3.6761e-004
423	3.5052e-004
424	3.322e-004
425	3.1402e-004
426	2.93e-004
427	2.7633e-004
428	2.5193e-004
429	2.3507e-004
430	2.0862e-004
431	1.9012e-004
432	1.7086e-004
433	1.4056e-004
434	1.3293e-004
435	9.2825e-005
436	9.166e-005
437	5.3572e-005
438	4.9443e-005
439	2.0646e-005
440	1.6371e-005
441	-5.8989e-006
442	3.2326e-006
443	1.0646e-005
444	-6.7526e-005
445	-1.5208e-005
446	-1.1274e-004
447	6.604e-006
448	-3.0891e-004
449	2.2722e-004
450	-7.1914e-004
451	3.1244e-004
452	-7.0869e-004
453	-2.2465e-004
454	-2.5245e-004
455	3.9418e-004
456	1.3187e-003
457	-3.8853e-004
458	-3.5055e-004
459	-3.9353e-004
460	-4.0488e-004
461	-4.1947e-004
462	-4.3256e-004
463	-4.4636e-004
464	-4.6003e-004
465	-4.7337e-004
466	-4.8597e-004
467	-4.9753e-004
468	-5.078e-004
469	-5.1648e-004
470	-5.2364e-004
471	-5.3069e-004
472	-5.6435e-004
473	-5.9131e-004
474	-6.1476e-004
475	-6.3442e-004
476	-6.4979e-004
477	-6.6031e-004
478	-6.6548e-004
479	-6.6479e-004
480	-6.5784e-004
481	-6.4434e-004
482	-6.2416e-004
483	-5.9737e-004
484	-5.6427e-004
485	-5.254e-004
486	-4.8149e-004
487	-4.3323e-004
488	-3.8087e-004
489	-3.2391e-004
490	-2.6288e-004
491	-4.0997e-004
492	-3.0601e-004
493	-3.1229e-004
494	-2.4054e-004
495	-2.788e-004
496	-2.1984e-004
497	-2.4551e-004
498	-1.9738e-004
499	-2.223e-004
500	-1.8156e-004
501	-2.0409e-004
502	-1.6903e-004
503	-1.9103e-004
504	-1.6025e-004
505	-1.8287e-004
506	-1.5521e-004
507	-1.8018e-004
508	-1.5437e-004
509	-1.8409e-004
510	-1.5834e-004
511	-1.9653e-004
512	-1.6784e-004
513	-2.2056e-004
514	-1.8354e-004
515	-2.6077e-004
516	-2.0562e-004
517	-3.2221e-004
518	-2.3274e-004
519	-8.4448e-005
520	1.2404e-005
521	-8.1397e-005
522	-8.4947e-006
523	-8.156e-005
524	-1.5735e-005
525	-7.6269e-005
526	-1.6511e-005
527	-6.9154e-005
528	-1.2119e-005
529	-6.0108e-005
530	-3.5979e-006
531	-4.9546e-005
532	8.8373e-006
533	-3.739e-005
534	2.5497e-005
535	-2.3412e-005
536	4.723e-005
537	-7.1543e-006
538	7.5519e-005
539	1.2035e-005
540	1.1267e-004
541	3.5033e-005
542	1.6218e-004
543	6.2621e-005
544	2.292e-004
545	9.5324e-005
546	3.2232e-004
547	8.1019e-005
548	7.9421e-005
549	7.8297e-005
550	7.7545e-005
551	7.7105e-005
552	7.6932e-005
553	7.7032e-005
554	7.7426e-005
555	7.815e-005
556	7.9242e-005
557	8.074e-005
558	8.2674e-005
559	8.5067e-005
560	8.794e-005
561	9.1307e-005
562	9.5199e-005
563	9.9629e-005
564	1.0472e-004
565	1.1021e-004
566	1.867e-004
567	1.9194e-004
568	1.9846e-004
569	2.0625e-004
570	2.1544e-004
571	2.2616e-004
572	2.3852e-004
573	2.5258e-004
574	2.6835e-004
575	2.8576e-004
576	3.0463e-004
577	3.2467e-004
578	3.4549e-004
579	3.6656e-004
580	3.8727e-004
581	4.0691e-004
582	4.2472e-004
583	4.3993e-004
584	4.5115e-004
585	-2.808e-004
586	-2.7473e-004
587	-2.6863e-004
588	-2.6233e-004
589	-2.5584e-004
590	-2.4905e-004
591	-2.4193e-004
592	-2.3446e-004
593	-2.2661e-004
594	-2.1841e-004
595	-2.0987e-004
596	-2.0105e-004
597	-1.9202e-004
598	-1.8286e-004
599	-1.7368e-004
600	-1.6464e-004
601	-1.5587e-004
602	-1.4747e-004
603	-1.3899e-004
604	-4.4123e-004
605	-4.5477e-004
606	-4.6205e-004
607	-4.6403e-004
608	-4.617e-004
609	-4.5575e-004
610	-4.4687e-004
611	-4.3565e-004
612	-4.2266e-004
613	-4.0836e-004
614	-3.9316e-004
615	-3.7737e-004
616	-3.6125e-004
617	-3.45e-004
618	-3.288e-004
619	-3.1284e-004
620	-2.9738e-004
621	-2.8289e-004
622	-2.701e-004
623	3.437e-005
624	3.929e-005
625	-2.3673e-006
626	-1.8637e-005
627	3.9134e-005
628	3.7808e-005
629	1.8208e-005
630	8.3457e-007
631	6.4467e-005
632	6.4011e-005
633	2.4339e-005
634	-1.602e-005
635	1.0127e-004
636	1.0734e-004
637	4.0519e-005
638	-1.3704e-005
639	1.166e-004
640	1.0509e-004
641	8.1284e-005
642	3.2197e-005
643	1.1453e-004
644	7.6554e-005
645	1.2058e-004
646	8.2137e-005
647	1.2006e-004
648	5.8805e-005
649	1.485e-004
650	9.2288e-005
651	1.3884e-004
652	8.0158e-005
653	1.5362e-004
654	1.0496e-004
655	1.5393e-004
656	9.3641e-005
657	1.6296e-004
658	9.4987e-005
659	1.6849e-004
660	9.3238e-005
661	1.7414e-004
662	9.3753e-005
663	1.7837e-004
664	9.4315e-005
665	1.8172e-004
666	9.4866e-005
667	1.8412e-004
668	9.4922e-005
669	1.8576e-004
670	9.4423e-005
671	1.8674e-004
672	9.3371e-005
673	1.8716e-004
674	9.1857e-005
675	1.872e-004
676	8.9959e-005
677	1.8679e-004
678	8.7825e-005
679	1.8616e-004
680	8.5515e-005
681	2.4475e-005
682	1.6324e-005
683	-5.0771e-005
684	-6.2286e-005
685	1.429e-005
686	3.4851e-006
687	-4.302e-005
688	-6.8628e-005
689	5.1254e-005
690	4.0638e-005
691	-1.2538e-004
692	-1.982e-004
693	1.4416e-004
694	1.7564e-004
695	-2.066e-004
696	-3.8887e-004
697	1.1963e-004
698	1.7693e-004
699	-1.1414e-004
700	-2.9253e-004
701	-2.7074e-005
702	-1.2773e-004
703	-2.9407e-005
704	-9.7655e-005
705	-1.1836e-004
706	-2.1248e-004
707	3.4008e-005
708	1.0357e-005
709	-4.474e-005
710	-3.8016e-004
711	-3.3165e-005
712	-4.1384e-004
713	-1.0977e-004
714	-4.3652e-004
715	-1.4345e-004
716	-4.0315e-004
717	-1.582e-004
718	-3.656e-004
719	-1.584e-004
720	-3.3031e-004
721	-1.5267e-004
722	-3.0261e-004
723	-1.4478e-004
724	-2.822e-004
725	-1.3717e-004
726	-2.6816e-004
727	-1.3087e-004
728	-2.5907e-004
729	-1.2628e-004
730	-2.5369e-004
731	-1.2341e-004
732	-2.5095e-004
733	-1.2207e-004
734	-2.5003e-004
735	-1.2199e-004
736	-2.5028e-004
737	-1.2327e-004
738	-2.5186e-004
739	-2.2734e-004
740	1.7977e-005
741	1.6757e-005
742	9.2092e-005
743	1.763e-006
744	4.5469e-005
745	7.8781e-006
746	-2.563e-004
747	-7.1737e-006
748	-2.7746e-006
749	3.1209e-006
750	2.331e-005
751	2.9241e-006
752	9.3174e-006
753	3.7023e-006
754	-2.1405e-004
755	-8.4874e-006
756	4.9169e-005
757	-2.3143e-004
758	1.0321e-005
759	9.6159e-006
760	2.2222e-005
761	2.3691e-005
762	1.6943e-005
763	2.6829e-006
764	-1.9444e-005
765	-5.0054e-005
766	-8.9417e-005
767	-1.3883e-004
768	-1.9747e-004
769	-2.7028e-004
770	-3.5039e-004
771	-4.6659e-004
772	-5.2516e-004
773	-8.5939e-004
774	1.5127e-005
775	9.6124e-005
776	1.1268e-004
777	1.2999e-004
778	1.4577e-004
779	1.6007e-004
780	1.7282e-004
781	1.8375e-004
782	1.9249e-004
783	1.9874e-004
784	2.023e-004
785	2.0308e-004
786	2.011e-004
787	1.9638e-004
788	1.8899e-004
789	1.7898e-004
790	1.6634e-004
791	1.5105e-004
792	1.3303e-004
793	1.1228e-004
794	8.2804e-005
795	7.5126e-005
796	6.8531e-005
797	6.2298e-005
798	5.6487e-005
799	5.1162e-005
800	4.6311e-005
801	4.1901e-005
802	3.7879e-005
803	3.4189e-005
804	3.0775e-005
805	2.7589e-005
806	2.4586e-005
807	2.1733e-005
808	1.9007e-005
809	1.6391e-005
810	1.3879e-005
811	1.1468e-005
812	9.1647e-006
813	6.9775e-006
814	4.921e-006
815	3.0149e-006
816	1.285e-006
817	-2.3308e-007
818	-1.4897e-006
819	-2.413e-006
820	-2.893e-006
821	-2.7485e-006
822	-1.5566e-006
823	2.6147e-006
824	3.0263e-006
825	3.1862e-006
826	3.1983e-006
827	3.3181e-006
828	5.0247e-006
829	7.4803e-006
830	7.794e-006
831	8.4246e-006
832	9.2644e-006
833	1.0273e-005
834	1.1425e-005
835	1.2702e-005
836	1.4086e-005
837	1.5559e-005
838	1.7104e-005
839	1.8701e-005
840	2.0332e-005
841	2.1978e-005
842	2.3621e-005
843	2.5246e-005
844	2.6838e-005
845	2.8388e-005
846	2.9889e-005
847	3.1339e-005
848	3.2742e-005
849	3.4103e-005
850	3.5431e-005
851	3.6735e-005
852	3.8022e-005
853	3.9295e-005
854	4.0545e-005
855	4.178e-005
856	4.2923e-005
857	4.401e-005
858	4.7881e-005
859	4.9645e-005
860	5.0478e-005
861	5.0522e-005
862	4.9903e-005
863	4.8719e-005
864	4.7048e-005
865	4.4954e-005
866	4.2493e-005
867	3.9719e-005
868	3.6689e-005
869	3.3461e-005
870	3.0102e-005
871	2.6686e-005
872	2.3286e-005
873	1.9968e-005
874	1.6804e-005
875	1.3887e-005
876	1.1423e-005
877	-2.4894e-004
878	-2.6008e-004
879	-2.4601e-004
880	-2.2918e-004
881	-6.7447e-004
882	-4.9597e-004
883	-4.2492e-004
884	-3.5241e-004
885	-2.9602e-004
886	-2.4628e-004
887	-2.0284e-004
888	-1.6408e-004
889	-1.2941e-004
890	-9.8423e-005
891	-7.1037e-005
892	-4.7438e-005
893	-2.8304e-005
894	-1.4367e-005
895	-7.5055e-006
896	-6.4565e-006
897	-5.3994e-006
898	-4.4288e-006
899	-3.5657e-006
900	-2.8216e-006
901	-2.1983e-006
902	-1.6952e-006
903	-1.3098e-006
904	-1.0382e-006
905	-8.7482e-007
906	-8.1339e-007
907	-8.4675e-007
908	-9.6744e-007
909	-1.1682e-006
910	-1.4416e-006
