Iteration	Objective	Volume	Change
   1	 3875.2978	 0.400	 0.200
   2	 1569.9503	 0.400	 0.200
   3	 1025.0822	 0.400	 0.200
   4	  844.8680	 0.400	 0.200
   5	  792.4077	 0.400	 0.200
   6	  761.8173	 0.400	 0.170
   7	  737.3769	 0.400	 0.200
   8	  712.4423	 0.400	 0.200
   9	  676.6246	 0.400	 0.200
  10	  641.7052	 0.400	 0.200
  11	  605.8145	 0.400	 0.195
  12	  578.8078	 0.400	 0.167
  13	  559.7298	 0.400	 0.126
  14	  545.9144	 0.400	 0.140
  15	  535.1706	 0.400	 0.121
  16	  525.2268	 0.400	 0.143
  17	  515.8801	 0.400	 0.136
  18	  507.4255	 0.400	 0.124
  19	  500.6295	 0.400	 0.113
  20	  494.7275	 0.400	 0.121
  21	  489.9022	 0.400	 0.121
  22	  485.9890	 0.400	 0.112
  23	  482.6628	 0.400	 0.082
  24	  479.5270	 0.400	 0.091
  25	  476.4486	 0.400	 0.095
  26	  473.5028	 0.400	 0.090
  27	  470.8308	 0.400	 0.077
  28	  468.4645	 0.400	 0.069
  29	  466.3283	 0.400	 0.065
  30	  464.4410	 0.400	 0.069
  31	  462.8940	 0.400	 0.067
  32	  461.6612	 0.400	 0.060
  33	  460.6189	 0.400	 0.052
  34	  459.7268	 0.400	 0.051
  35	  458.9117	 0.400	 0.047
  36	  458.1848	 0.400	 0.043
  37	  457.5143	 0.400	 0.040
  38	  456.9099	 0.400	 0.037
  39	  456.4278	 0.400	 0.037
  40	  456.0468	 0.400	 0.036
  41	  455.7477	 0.400	 0.036
  42	  455.4699	 0.400	 0.038
  43	  455.2282	 0.400	 0.040
  44	  454.9537	 0.400	 0.040
  45	  454.7009	 0.400	 0.039
  46	  454.4115	 0.400	 0.040
  47	  454.0723	 0.400	 0.051
  48	  453.7342	 0.400	 0.065
  49	  453.3548	 0.400	 0.083
  50	  452.9055	 0.400	 0.100
  51	  452.3400	 0.400	 0.110
  52	  451.6730	 0.400	 0.117
  53	  451.0412	 0.400	 0.107
  54	  450.6301	 0.400	 0.070
  55	  450.3684	 0.400	 0.045
  56	  450.1508	 0.400	 0.034
  57	  449.9788	 0.400	 0.027
  58	  449.8197	 0.400	 0.027
  59	  449.6926	 0.400	 0.028
  60	  449.5601	 0.400	 0.030
  61	  449.4253	 0.400	 0.032
  62	  449.2794	 0.400	 0.033
  63	  449.1048	 0.400	 0.036
  64	  448.9298	 0.400	 0.039
  65	  448.7468	 0.400	 0.040
  66	  448.5760	 0.400	 0.040
  67	  448.4250	 0.400	 0.038
  68	  448.2897	 0.400	 0.033
  69	  448.1715	 0.400	 0.030
  70	  448.0794	 0.400	 0.025
  71	  447.9988	 0.400	 0.023
  72	  447.9753	 0.400	 0.021
  73	  447.9363	 0.400	 0.021
  74	  447.9461	 0.400	 0.019
  75	  447.9702	 0.400	 0.017
  76	  447.9800	 0.400	 0.015
  77	  447.9718	 0.400	 0.014
  78	  447.9833	 0.400	 0.012
  79	  447.9754	 0.400	 0.011
  80	  447.9944	 0.400	 0.009
